pdb_code,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,Developability Index (All),DI Classification
3okd,0.45382882882882825,44.57162162162163,0.0839189189189189,0.34902252252252236,0.12162162162162163,71.19351351351354,5.160720720720721,1.1987387387387378,0.019549549549549558,0.06306306306306306,0.04954954954954955,0.4079908675799084,41.17899543378994,0.07513698630136988,0.24257534246575346,0.0958904109589041,65.28520547945207,4.798584474885847,1.1171232876712325,0.019315068493150688,0.0593607305936073,0.0365296803652968,69.827,0
5fb8,0.44678571428571373,44.13705357142857,0.08222321428571426,0.4051205357142856,0.12053571428571429,70.37428571428576,5.053392857142858,1.1788839285714279,0.022232142857142867,0.05357142857142857,0.049107142857142856,0.42600917431192636,40.42660550458714,0.07306880733944952,0.23329357798165143,0.0963302752293578,64.34880733944955,4.80954128440367,1.1087614678899076,0.01862385321100917,0.05504587155963303,0.04128440366972477,71.811,0
4olz,0.4871491228070169,45.83771929824562,0.09071929824561403,0.2979692982456139,0.10964912280701754,73.25114035087724,5.14197368421053,1.1826754385964902,0.02105263157894737,0.07894736842105263,0.04824561403508772,0.4020952380952377,38.36238095238094,0.07062380952380952,0.2522000000000001,0.10476190476190476,61.40342857142857,4.539476190476189,1.0480952380952373,0.01776190476190475,0.03333333333333333,0.0380952380952381,123.068,1
1hh6,0.42582159624413096,41.97370892018778,0.07604225352112673,0.2951596244131457,0.10328638497652583,66.6492488262911,4.949342723004698,1.1527230046948351,0.018732394366197183,0.06103286384976526,0.046948356807511735,0.4482710280373829,41.22196261682241,0.07664485981308412,0.2986121495327103,0.09345794392523364,64.80906542056076,4.698878504672898,1.089065420560747,0.019392523364485978,0.0514018691588785,0.04205607476635514,92.4728,0
2xqb,0.44283898305084707,42.55805084745763,0.07944915254237289,0.25021186440677967,0.0847457627118644,67.92504237288136,4.985889830508477,1.1624152542372872,0.019533898305084754,0.046610169491525424,0.038135593220338986,0.41635071090047365,40.0473933649289,0.07431279620853079,0.20790995260663517,0.10426540284360189,64.28658767772512,4.740616113744078,1.0872985781990516,0.019241706161137438,0.061611374407582936,0.04265402843601896,80.2576,0
1rur,0.44082568807339384,42.89311926605503,0.07813302752293579,0.31880733944954115,0.13761467889908258,69.08711009174314,5.1408715596330286,1.1964220183486234,0.01977064220183486,0.045871559633027525,0.05045871559633028,0.44322580645161247,41.150691244239624,0.07382027649769583,0.24820737327188938,0.10599078341013825,64.90903225806453,4.867004608294932,1.1324423963133634,0.018202764976958528,0.04608294930875576,0.03686635944700461,101.834,1
4hs8,0.45653508771929774,43.75131578947367,0.08250877192982457,0.3862587719298243,0.13157894736842105,69.77622807017548,5.017719298245613,1.1679824561403502,0.020438596491228075,0.04824561403508772,0.04824561403508772,0.4083944954128437,39.92522935779815,0.07181192660550456,0.20114220183486248,0.0963302752293578,64.11866972477064,4.792247706422019,1.106284403669724,0.021330275229357803,0.05045871559633028,0.04128440366972477,62.2873,0
5nbw,0.4382432432432427,41.396846846846834,0.07643693693693693,0.3134009009009008,0.12612612612612611,65.98504504504508,4.827882882882884,1.1220720720720714,0.018648648648648646,0.05855855855855856,0.04954954954954955,0.44336448598130807,41.08738317757007,0.076303738317757,0.3446074766355139,0.11682242990654206,65.0511214953271,4.705607476635514,1.0875233644859807,0.020420560747663557,0.04672897196261682,0.056074766355140186,158.362,1
5fgb,0.3809293680297393,37.22490706319703,0.06776579925650557,0.293620817843866,0.08921933085501858,59.65104089219335,4.4291821561338285,1.0401115241635681,0.018364312267658008,0.03717472118959108,0.02973977695167286,0.3791666666666663,38.683796296296286,0.06830555555555556,0.2806481481481483,0.11574074074074074,62.08004629629632,4.662268518518521,1.0785185185185182,0.019861111111111114,0.027777777777777776,0.05092592592592592,124.169,1
2ipu,0.4625663716814153,44.01415929203541,0.08175663716814159,0.23816814159292038,0.09734513274336283,69.67721238938059,5.121592920353983,1.1902212389380524,0.020044247787610627,0.05752212389380531,0.03982300884955752,0.4343835616438353,41.1296803652968,0.07456164383561642,0.23009589041095896,0.1050228310502283,64.8647488584475,4.822237442922374,1.1142922374429216,0.019771689497716894,0.0547945205479452,0.0410958904109589,162.858,1
5wcc,0.459074889867841,43.97224669603523,0.08171365638766519,0.30341409691629945,0.11894273127753303,70.09748898678416,5.137665198237888,1.196740088105726,0.020925110132158597,0.048458149779735685,0.048458149779735685,0.38410138248847886,39.35069124423963,0.06943317972350231,0.19924884792626738,0.11059907834101383,63.679907834101414,4.814838709677419,1.107972350230414,0.02110599078341013,0.04608294930875576,0.03686635944700461,109.829,1
6o3b,0.44117647058823467,42.61221719457012,0.0774524886877828,0.3650859728506785,0.11312217194570136,68.5932126696833,5.107058823529413,1.1941628959276012,0.02081447963800906,0.04072398190045249,0.04072398190045249,0.40967289719626143,39.501401869158855,0.071607476635514,0.2063364485981309,0.06542056074766354,63.090934579439256,4.70714953271028,1.0926635514018685,0.019999999999999997,0.04205607476635514,0.028037383177570093,193.828,1
